category,from_dish,to_dish,E_reduction_pct,H_change,E_from,E_to,H_from,H_to
Noodle/Rice,gyudon,arroz_con_pollo,39.531290278049305,0.26216931605339067,0.4060873920872168,0.2455558063386589,7.010474032402039,7.272643348455429
Noodle/Rice,gyudon,jollof_rice,47.457308640688936,0.29809187736316556,0.4060873920872168,0.2133692450734617,7.010474032402039,7.308565909765204
Noodle/Rice,gyudon,laksa,52.410632480792074,0.29407913256941587,0.4060873920872168,0.1932544214695525,7.010474032402039,7.304553164971455
Noodle/Rice,gyudon,nasi_goreng,43.81277400763336,0.3664554342288593,0.4060873920872168,0.2281692407185525,7.010474032402039,7.376929466630898
Noodle/Rice,gyudon,tonkotsu_ramen,54.291775900151066,0.1427115044593812,0.4060873920872168,0.1856153352164573,7.010474032402039,7.15318553686142
Noodle/Rice,jollof_rice,udon,32.297654678230266,-0.3675659097652044,0.2133692450734617,0.1444559831100882,7.308565909765204,6.941
Noodle/Rice,nasi_goreng,udon,36.68910732438509,-0.43592946663089815,0.2281692407185525,0.1444559831100882,7.376929466630898,6.941
Wrapped/Stuffed,banh_mi,dumplings,39.493136143255896,-0.1689999999999996,0.2565416685710571,0.1552253181381092,7.249,7.08
Wrapped/Stuffed,banh_mi,fresh_spring_roll,79.29010028632813,-0.1299999999999999,0.2565416685710571,0.0531295222848464,7.249,7.119
Wrapped/Stuffed,banh_mi,sushi,75.04329609526398,-0.27499999999999947,0.2565416685710571,0.0640243446175479,7.249,6.974
Wrapped/Stuffed,banh_mi,tamale,46.49423240348604,-0.0019999999999997797,0.2565416685710571,0.1372645889738489,7.249,7.247
Wrapped/Stuffed,banh_mi,arepa,39.55435785273935,0.3784052214622502,0.2565416685710571,0.1550682589430726,7.249,7.62740522146225
Wrapped/Stuffed,banh_mi,pierogi,44.480222525783894,0.14937057995796277,0.2565416685710571,0.1424313635192919,7.249,7.398370579957962
Wrapped/Stuffed,burrito,dumplings,43.82029906474332,0.2530000000000001,0.276301431930006,0.1552253181381092,6.827,7.08
Wrapped/Stuffed,burrito,fresh_spring_roll,80.77117374538058,0.2919999999999998,0.276301431930006,0.0531295222848464,6.827,7.119
Wrapped/Stuffed,burrito,sushi,76.82808077745798,0.14700000000000024,0.276301431930006,0.0640243446175479,6.827,6.974
Wrapped/Stuffed,burrito,tamale,50.320710242058595,0.41999999999999993,0.276301431930006,0.1372645889738489,6.827,7.247
Wrapped/Stuffed,burrito,arepa,43.877142488948365,0.8004052214622499,0.276301431930006,0.1550682589430726,6.827,7.62740522146225
Wrapped/Stuffed,burrito,pierogi,48.45073276515871,0.5713705799579625,0.276301431930006,0.1424313635192919,6.827,7.398370579957962
Wrapped/Stuffed,dumplings,fresh_spring_roll,65.77264397192262,0.0389999999999997,0.1552253181381092,0.0531295222848464,7.08,7.119
Wrapped/Stuffed,dumplings,sushi,58.753929200787155,-0.10599999999999987,0.1552253181381092,0.0640243446175479,7.08,6.974
Wrapped/Stuffed,naan,fresh_spring_roll,75.15124574436615,-0.08400000000000052,0.2138116130018896,0.0531295222848464,7.203,7.119
Wrapped/Stuffed,naan,sushi,70.05572161462432,-0.2290000000000001,0.2138116130018896,0.0640243446175479,7.203,6.974
Wrapped/Stuffed,naan,tamale,35.8011536199225,0.043999999999999595,0.2138116130018896,0.1372645889738489,7.203,7.247
Wrapped/Stuffed,naan,pierogi,33.38464570769918,0.19537057995796214,0.2138116130018896,0.1424313635192919,7.203,7.398370579957962
Wrapped/Stuffed,pita,fresh_spring_roll,76.01079580381726,0.07699999999999996,0.2214726334827755,0.0531295222848464,7.042,7.119
Wrapped/Stuffed,pita,sushi,71.09153234386983,-0.06799999999999962,0.2214726334827755,0.0640243446175479,7.042,6.974
Wrapped/Stuffed,pita,tamale,38.021873485996935,0.20500000000000007,0.2214726334827755,0.1372645889738489,7.042,7.247
Wrapped/Stuffed,pita,pierogi,35.68895566035288,0.3563705799579626,0.2214726334827755,0.1424313635192919,7.042,7.398370579957962
Wrapped/Stuffed,quesadilla,dumplings,31.314807695036873,0.30299999999999994,0.2259953170821839,0.1552253181381092,6.777,7.08
Wrapped/Stuffed,quesadilla,fresh_spring_roll,76.49087469121066,0.34199999999999964,0.2259953170821839,0.0531295222848464,6.777,7.119
Wrapped/Stuffed,quesadilla,sushi,71.6700569533194,0.19700000000000006,0.2259953170821839,0.0640243446175479,6.777,6.974
Wrapped/Stuffed,quesadilla,tamale,39.26219766583384,0.46999999999999975,0.2259953170821839,0.1372645889738489,6.777,7.247
Wrapped/Stuffed,quesadilla,arepa,31.38430435411122,0.8504052214622497,0.2259953170821839,0.1550682589430726,6.777,7.62740522146225
Wrapped/Stuffed,quesadilla,pierogi,36.975966865943384,0.6213705799579623,0.2259953170821839,0.1424313635192919,6.777,7.398370579957962
Wrapped/Stuffed,samosa,dumplings,39.48036980316336,-0.2629999999999999,0.2564875522755967,0.1552253181381092,7.343,7.08
Wrapped/Stuffed,samosa,fresh_spring_roll,79.2857307056529,-0.2240000000000002,0.2564875522755967,0.0531295222848464,7.343,7.119
Wrapped/Stuffed,samosa,sushi,75.03803048159095,-0.3689999999999998,0.2564875522755967,0.0640243446175479,7.343,6.974
Wrapped/Stuffed,samosa,tamale,46.4829432243333,-0.09600000000000009,0.2564875522755967,0.1372645889738489,7.343,7.247
Wrapped/Stuffed,samosa,arepa,39.54160442981215,0.2844052214622499,0.2564875522755967,0.1550682589430726,7.343,7.62740522146225
Wrapped/Stuffed,samosa,pierogi,44.46850841079066,0.05537057995796246,0.2564875522755967,0.1424313635192919,7.343,7.398370579957962
