from_dish,to_dish,category,E_reduction_pct,H_change,from_protein_g,to_protein_g,from_cal,to_cal,protein_ratio
manti_turkish,ravioli,Mixed/Other,38.82169499552228,0.3857999999999997,32.305,31.24,592.95,719.5,0.967032967032967
fried_chicken,kung_pao_chicken,Poultry Main,38.82082468896463,0.7172999999999998,67.738,58.24500000000001,1048.02,751.6500000000002,0.8598570964598897
french_fries,takoyaki,Mixed/Other,38.81838559916021,1.9593999999999996,4.0,20.140000000000004,419.2,330.8,5.035000000000001
korean_fried_chicken,pad_see_ew,Poultry Main,38.79297121173376,2.3198,65.83999999999999,37.475,1102.2,937.45,0.5691828675577157
pao_de_queijo,dim_sum,Mixed/Other,38.788544283233236,0.8772000000000002,18.55,33.730000000000004,419.9,415.9,1.8183288409703506
chow_fun,nasi_goreng,Starch/Carb,38.743924380000145,1.8357,27.855,27.975,900.95,600.6,1.0043080236941304
bruschetta,injera,Starch/Carb,38.7390100203119,0.6364999999999998,8.336,15.0,367.14,546.0,1.7994241842610363
malai_kofta,saganaki,Dairy Main,38.73275239284052,-0.0,30.86,26.61,874.1000000000001,637.3000000000001,0.8622812702527544
pot_roast,tagine,Red Meat Main,38.70544800239641,0.5078,67.39999999999999,55.904,719.0,868.05,0.8294362017804155
adobo,satay,Poultry Main,38.70477209598718,3.6446000000000005,50.562,45.294,381.7299999999999,544.34,0.895811083422333
jjajangmyeon,char_siu_bao,Starch/Carb,38.694712519175454,1.1421999999999999,49.68,24.91,1011.0,524.6,0.5014090177133655
boat_noodles,dan_dan_noodles,Starch/Carb,38.681410312946774,5.9743,22.97,42.065,722.1999999999999,918.75,1.8313016978667827
lumpia,kimchi_jjigae,Mixed/Other,38.66898930447476,0.11129999999999995,21.08,31.28,574.1999999999999,367.25,1.4838709677419357
muhammara,tabbouleh,Mixed/Other,38.620969630817626,-0.2272999999999996,11.375000000000002,7.3,605.8000000000001,426.1,0.6417582417582416
fish_and_chips,lobster_roll,Seafood Main,38.617096133268795,5.873799999999999,47.580000000000005,42.03999999999999,1036.9,556.75,0.883564522908785
pastelitos,grilled_cheese,Starch/Carb,38.607744956763064,0.5674000000000001,29.38,22.335,782.2,561.3499999999999,0.7602110279101431
lumpia,pancake,Mixed/Other,38.60409330055188,1.3560999999999996,21.08,17.735000000000003,574.1999999999999,569.95,0.8413187855787478
manti_turkish,tapas,Mixed/Other,38.60135056776959,0.7164999999999999,32.305,19.76,592.95,486.8999999999999,0.6116700201207244
cornbread,scallion_pancake,Starch/Carb,38.50123066488259,4.475199999999999,12.5,10.44,495.35,601.0,0.8351999999999999
pao_de_queijo,gnocchi,Mixed/Other,38.48336717555243,5.6930000000000005,18.55,21.075,419.9,601.2499999999999,1.1361185983827493
meatloaf,ghormeh_sabzi,Red Meat Main,38.47012262898027,3.6872000000000007,59.97,36.62,681.1,596.4,0.6106386526596631
osso_buco,massaman_curry,Red Meat Main,38.451332904681294,0.12989999999999924,67.1,54.85,828.7,1186.2,0.8174366616989569
char_kway_teow,pierogi,Starch/Carb,38.423502813803054,0.4729000000000001,28.885,19.455,1044.95,662.05,0.6735329755928682
lagman,udon,Starch/Carb,38.40736605067507,-0.18960000000000043,41.05,25.68,958.75,793.9,0.6255785627283801
pita,kimbap,Starch/Carb,38.39100574367566,3.7754000000000003,14.0,16.53,548.61,372.9,1.1807142857142858
korean_fried_chicken,kung_pao_chicken,Poultry Main,38.39097723735677,0.06099999999999994,65.83999999999999,58.24500000000001,1102.2,751.6500000000002,0.8846445929526127
patatas_bravas,pancake,Mixed/Other,38.381108248165525,-0.6996000000000002,5.59,17.735000000000003,554.35,569.95,3.1726296958855102
carnitas,al_pastor,Pork Main,38.35863910803081,0.5644999999999998,68.85999999999999,59.57,711.85,657.6,0.8650885855358701
karaage,dakgalbi,Poultry Main,38.313801013761385,4.083000000000001,52.00500000000001,51.74,812.2,431.95,0.9949043361215266
biryani,aji_de_gallina,Poultry Main,38.29097221261202,-0.7531999999999996,45.902,49.900000000000006,706.7400000000001,619.4,1.0870986013681323
jokbal,al_pastor,Pork Main,38.25811784526523,3.3193,69.455,59.57,624.4000000000001,657.6,0.8576776329997841
arancini,pupusa,Starch/Carb,38.24937390038701,1.6329000000000002,16.52,31.21,746.2,463.50000000000006,1.889225181598063
lasagna,iskender_kebab,Red Meat Main,38.221940315426814,1.3968999999999996,63.81,47.05,1042.0500000000002,772.7,0.7373452436922112
banh_mi,sopes,Starch/Carb,38.15071618375426,1.3896000000000006,32.015,16.685000000000002,587.05,339.8,0.5211619553334376
anticucho,doner_kebab,Red Meat Main,38.14163375669531,1.2538999999999998,53.454,46.05,534.6,627.4499999999999,0.8614883825345155
oxtail_stew,massaman_curry,Red Meat Main,38.11917331257913,2.182499999999999,74.98999999999998,54.85,804.35,1186.2,0.7314308574476599
katsu,vindaloo,Pork Main,38.10351269553316,-0.09100000000000019,58.27,58.352,996.9,718.89,1.0014072421486184
buffalo_wings,pad_see_ew,Poultry Main,38.08133239974965,3.4943999999999997,62.02,37.475,877.2,937.45,0.604240567558852
asado,beef_tartare,Red Meat Main,38.06774294647031,-0.5917000000000003,65.0,51.155,625.0,593.3,0.787
nasi_goreng,penne_arrabbiata,Starch/Carb,38.03116867549696,0.19949999999999957,27.975,18.236,600.6,636.49,0.6518677390527257
malai_kofta,quesadilla,Dairy Main,38.01649318362745,-0.29940000000000033,30.86,41.505,874.1000000000001,677.4000000000001,1.3449449125081012
bruschetta,kimbap,Starch/Carb,37.9993737677299,2.4702,8.336,16.53,367.14,372.9,1.9829654510556622
pao_de_queijo,budae_jjigae,Mixed/Other,37.99202084145545,4.9705,18.55,23.87,419.9,452.55,1.2867924528301886
beef_tartare,plov,Red Meat Main,37.957357431294525,-0.6943000000000001,51.155,32.534,593.3,790.1000000000001,0.6359886619098817
chow_fun,char_kway_teow,Starch/Carb,37.90126909314239,1.6710000000000003,27.855,28.885,900.95,1044.95,1.0369772033746185
