dish_id,E_original,E_mc_mean,E_mc_median,E_mc_p5,E_mc_p25,E_mc_p75,E_mc_p95,E_90CI_width,E_relative_uncertainty
croissant,0.2528773599570321,0.20620553496751917,0.20256454853030248,0.1443262451233087,0.17656232283753168,0.23168517499610805,0.28093644972687287,0.13661020460356418,0.6744033227666592
dal,0.1513163041255206,0.11727350257395298,0.11533550507103733,0.0828541264979336,0.10096821568852869,0.13125866015655102,0.15873587183450374,0.07588174533657015,0.6579218193897286
dan_dan_noodles,0.1768632843021446,0.137319585934124,0.13500464890634672,0.09697794642167709,0.1184652468767076,0.1540117263607125,0.18540810251696083,0.08843015609528374,0.655015636955051
dim_sum,0.1486246479702183,0.1151016816197377,0.11272361191246288,0.07914738429431524,0.09696303443385626,0.13005898405668387,0.15968496075630217,0.08053757646198693,0.7144694451818092
dolma,0.1463439103506557,0.1138641536749967,0.11223381181140227,0.08089005052297879,0.09820142718365289,0.12732815533891004,0.1533199426374874,0.07242989211450862,0.6453482328143665
donburi,0.2347841626076021,0.18021013467027436,0.17658529543148324,0.12760705610692677,0.1549940257116462,0.2017084717848574,0.24556250845044303,0.11795545234351626,0.6679800379487661
dosa,0.1613769949862088,0.12790119027183144,0.1254864711937595,0.09040959017940556,0.10956114385608953,0.1436218781314571,0.17274687708335354,0.08233728690394798,0.6561447311464652
dumplings,0.1552253181381092,0.1188352624952811,0.115153354350185,0.0795160919238601,0.09856501443640639,0.13461575714626892,0.17036884884122958,0.09085275691736948,0.7889718665170913
edamame,0.122958281541028,0.0963628774462608,0.09457370220333915,0.06595206173999969,0.08179818108302728,0.1087120950912111,0.13406025629280904,0.06810819455280935,0.7201599701190997
elote,0.1805572994317562,0.14572334698245792,0.14277748753569544,0.10117801465383051,0.12383912541202395,0.16461072389530046,0.2003841915276068,0.0992061768737763,0.6948306668372631
enchilada,0.2953211986902908,0.23777918856766847,0.2343130452662215,0.1692651860867437,0.20485713476918785,0.2662313233618371,0.31882815347594157,0.14956296738919786,0.6383040569476941
