dish_id,point_rank,rank_5pct,rank_95pct,rank_iqr
bolo_do_caco,707,129,1573,692
bnh_xo,708,123,1604,696
ham_and_cheese_sandwich,709,139,1605,690
coconut_bar,710,94,1619,688
kuku,711,137,1601,697
bnh_chng,712,122,1596,667
caldo_de_pollo,713,147,1615,699
bijajica,714,118,1575,701
soto_banjar,715,119,1630,703
mulukhiyah,716,120,1576,712
szczecin_paprikash,717,137,1605,727
weisswurst,718,114,1558,678
black_pudding,719,142,1633,706
migas,720,132,1642,706
ewa_aganyin,721,143,1580,671
sussex_pond_pudding,722,158,1607,700
albaloo_polo,723,177,1604,706
jjajangmyeon,724,144,1631,717
katsuobushi,725,149,1618,656
nasi_padang,726,111,1605,703
sopa_de_cacahuete,727,149,1607,680
coconut_candy,728,145,1626,691
meeshay,729,135,1649,682
catatos,730,150,1621,682
samgyetang,731,138,1633,692
vindaloo,732,116,1622,724
egg_sandwich,733,147,1642,738
khao_khluk_kapi,734,127,1602,687
texas_toast,735,132,1622,739
canja_de_galinha,736,161,1627,649
matzah_brei,737,126,1599,679
scaloppine,738,127,1637,743
garnacha,739,130,1645,740
khao_poon,740,136,1637,721
ohn_no_khao_sw,741,122,1616,699
khao_soi,742,144,1615,708
roti,743,120,1647,726
nunt,744,127,1664,763
mesfouf,745,136,1638,722
dovga,746,145,1630,754
apam_balik,747,128,1593,707
dakgalbi,748,169,1643,693
yun_dou_juan,749,149,1627,761
kalguksu,750,171,1645,738
ciceri_e_tria,751,165,1649,716
polenta,752,134,1634,698
manda_roti,753,148,1671,722
aji_de_gallina,754,177,1623,712
pakhala,755,144,1628,725
miso_soup,756,134,1622,706
nasi_kerabu,757,136,1650,704
terang_bulan,758,127,1628,752
paella,759,145,1651,689
fesikh,760,105,1651,740
fideu,761,141,1655,719
curau,762,131,1676,716
rijsttafel,763,153,1628,709
memela,764,121,1639,689
buchimgae,765,160,1651,697
hokkien_fried_rice,766,171,1642,744
omelette,767,155,1675,680
cocktion,768,155,1638,749
shengjian_mantou,769,144,1701,703
toshikoshi_soba,770,148,1674,677
racuchy,771,174,1669,748
salukara,772,133,1643,710
arroz_negro,773,127,1659,712
nasi_kandar,774,105,1638,776
cheese_roll,775,124,1654,698
tlayuda,776,111,1661,733
krembo,777,116,1701,729
mee_pok,778,109,1631,736
gatsby,779,158,1676,698
black_sesame_roll,780,179,1665,716
aligue_fried_rice,781,125,1651,719
matev,782,172,1654,719
hot_dog,783,134,1684,739
kat_kyi_kaik,784,113,1667,711
jjamppong,785,163,1686,733
curry_puff,786,133,1665,727
scrambled_eggs,787,145,1671,736
escargot,788,143,1671,706
marquesita,789,115,1672,762
ful_medames,790,161,1692,696
rajas_con_crema,791,167,1680,698
calavera,792,153,1732,742
zefir,793,135,1715,758
huevos_motuleos,794,175,1727,757
bacalhau_brs,795,138,1713,721
jaynagarer_moa,796,154,1664,712
saganaki,797,131,1710,709
dirty_rice,798,165,1700,761
rice_noodle_roll,799,114,1697,691
red_peas_soup,800,161,1676,708
kaiserschmarrn,801,147,1709,688
kagoshima_ramen,802,181,1690,746
carbonara,803,133,1660,744
mafe,804,161,1694,696
grey_peas,805,134,1717,745
llapingacho,806,173,1680,687
markook,807,107,1695,765
doro_wot,808,131,1708,746
drunken_noodles,809,178,1695,730
chow_mein_sandwich,810,142,1682,694
cholermus,811,148,1689,709
bissara,812,157,1669,738
seattle_roll,813,168,1660,717
tapai,814,170,1704,720
texas_caviar,815,138,1714,719
locro,816,177,1707,700
douhua,817,124,1747,752
yakisoba,818,199,1686,667
sustyle_noodles,819,188,1707,763
taro_cake,820,151,1701,742
butter_pecan,821,141,1670,725
bubur_pedas,822,162,1730,762
wonton_soup,823,142,1715,713
borscht,824,172,1723,741
syrniki,825,139,1727,704
champon,826,161,1684,717
nasi_bogana,827,187,1722,750
olho_de_sogra,828,154,1731,705
liverwurst,829,149,1704,743
stinky_tofu,830,159,1689,735
jiuniang,831,155,1736,753
gallo_pinto,832,162,1730,777
dal_bhat,833,146,1687,706
hainanese_chicken_rice,834,179,1673,694
burong_isda,835,175,1692,732
puran_poli,836,170,1719,759
eggs_kejriwal,837,133,1709,758
kati_roll,838,153,1693,721
peabutter,839,147,1726,773
singapore_hae_mee,840,124,1714,736
fun_guo,841,198,1719,732
pannenkoek,842,177,1736,712
chai_tow_kway,843,151,1756,708
arroz_con_huevo_frito,844,148,1737,748
champorado,845,199,1735,734
panta_bhat,846,142,1702,759
touffe,847,158,1748,768
bnh_tt,848,179,1737,714
currywurst,849,151,1747,709
qatayef,850,157,1762,763
sai_krok_isan,851,135,1745,784
breakfast_roll,852,136,1729,756
salmorejo,853,172,1730,756
salted_nut_roll,854,162,1725,764
simit,855,128,1733,779
maggi_goreng,856,137,1731,756
turnip_cake,857,156,1743,735
huevos_estrellados,858,163,1721,733
christmas_pudding,859,149,1727,753
tom_kha,860,148,1758,741
hiyashi_chka,861,182,1758,723
ykan,862,131,1754,775
grater_cake,863,208,1762,718
satay,864,174,1794,761
helzel,865,173,1741,733
curd_rice,866,180,1764,787
cachapa,867,164,1749,759
california_roll,868,173,1726,726
bifana,869,160,1754,770
ricotta,870,156,1810,745
longaniza,871,151,1761,837
galette,872,205,1778,724
mie_ayam,873,147,1725,724
nasi_tutug_oncom,874,145,1809,788
soup,875,160,1752,740
pasteles,876,149,1833,774
khow_suey,877,178,1783,738
morisqueta,878,139,1752,757
bakmi,879,146,1791,747
moronga,880,152,1764,752
arroz_chaufa,881,179,1800,764
bouillabaisse,882,152,1759,751
baye_baye,883,167,1738,714
prawn_cocktail,884,187,1803,778
halva,885,177,1795,738
coffin_bread,886,161,1784,775
pocket_sandwich,887,143,1795,799
kalamay,888,162,1780,794
singaporestyle_noodles,889,177,1740,711
chilaquiles,890,167,1775,779
singapore_hokkien_mee,891,186,1782,733
bnh_canh,892,185,1796,731
creme_brulee,893,163,1804,785
pancake,894,148,1759,749
stornoway_black_pudding,895,136,1776,713
cart_noodle,896,162,1824,743
kiribath,897,161,1821,801
piccata,898,155,1778,801
yin_yang_fried_rice,899,170,1774,715
paneer_butter,900,158,1791,820
rellenitos_de_pltano,901,170,1781,720
biyet,902,182,1792,771
ciba_cake,903,176,1807,762
chirashizushi,904,182,1786,720
paneer_tikka,905,142,1811,771
nasi_goreng,906,151,1785,780
nasi_tumpang,907,181,1800,700
banh_xeo,908,195,1781,766
briouat,909,180,1813,784
fasolada,910,186,1829,768
baba_ganoush,911,199,1807,759
yakisobapan,912,170,1788,760
