category,from_dish,to_dish,from_E,to_E,E_reduction_pct,E_ratio,from_H,to_H,H_change,from_cuisine,to_cuisine,sub_score
Wrapped/Stuffed,coxinha,pajeon,0.3252279436113923,0.1644038414617883,49.449656866437394,1.978225938759367,7.36263070865111,7.274805528327517,-0.08782518032359299,South American,Korean,1.8044878889670166
Wrapped/Stuffed,coxinha,pierogi,0.3252279436113923,0.1424313635192919,56.20568087178881,2.2834011805787506,7.36263070865111,7.398370579957962,0.035739871306852855,South American,Polish,2.3650096449145512
Wrapped/Stuffed,coxinha,pupusa,0.3252279436113923,0.1955979718318633,39.85819002515386,1.6627367889630233,7.36263070865111,7.436244139432907,0.07361343078179772,South American,Caribbean,1.7851365484857014
Wrapped/Stuffed,coxinha,sopes,0.3252279436113923,0.1586691847014456,51.212929940904495,2.0497234180874266,7.36263070865111,7.601252646923065,0.23862193827195544,South American,Mexican,2.538832393032866
Wrapped/Stuffed,coxinha,warak_enab,0.3252279436113923,0.2056933839172815,36.754086492930625,1.5811298225429602,7.36263070865111,7.38352973985672,0.02089903120561054,South American,Lebanese,1.614173904044407
Wrapped/Stuffed,cubano_sandwich,club_sandwich,0.2115503017405358,0.0745333152011155,64.7680411760746,2.838332109201143,7.529457939863205,6.95,-0.5794579398632047,Caribbean,American,1.1936380325558642
Wrapped/Stuffed,cubano_sandwich,dim_sum,0.2115503017405358,0.1486246479702183,29.745007807880675,1.423386394044995,7.529457939863205,6.977,-0.5524579398632046,Caribbean,Chinese,0.6370252791615815
Wrapped/Stuffed,cubano_sandwich,dolma,0.2115503017405358,0.1463439103506557,30.823114338950486,1.4455695575828102,7.529457939863205,7.407,-0.12245793986320486,Caribbean,Mediterranean,1.2685480876322548
Wrapped/Stuffed,cubano_sandwich,dumplings,0.2115503017405358,0.1552253181381092,26.62486564141544,1.36285951465928,7.529457939863205,7.08,-0.4494579398632048,Caribbean,Chinese,0.7503114848775527
Wrapped/Stuffed,cubano_sandwich,fresh_spring_roll,0.2115503017405358,0.0531295222848464,74.88563152700713,3.9817843760449954,7.529457939863205,7.119,-0.4104579398632051,Caribbean,Vietnamese,2.347429364074069
