dish_id,price_tier,n_mentions,H_mean,H_std
nachos,1,75,6.591749022801717,2.055827432469508
nachos,2,391,6.912128552451463,1.890911982468146
okonomiyaki,1,19,7.402050833953054,1.1149401493771125
okonomiyaki,2,326,7.17932380196507,1.5488338192233975
okonomiyaki,3,14,7.736145871026175,0.6562320987774313
onigiri,1,59,7.199956265546508,1.5438477630825864
onigiri,2,394,7.094365478772198,1.610737550537948
onigiri,3,14,7.15398028918675,1.8006041579806025
orange_chicken,1,192,6.398373549183209,2.1826234982258796
orange_chicken,2,278,6.493278697669077,2.147422718594874
osso_buco,2,319,7.149686770753053,1.563829215198286
osso_buco,3,160,7.228773676604033,1.6179831138498548
osso_buco,4,10,6.178348970413208,2.3209436973996063
pad_see_ew,1,30,6.754258036613464,1.7997456442632036
pad_see_ew,2,443,6.881267679464198,1.821963014624843
pad_thai,1,52,6.479100174628771,2.091890764478602
pad_thai,2,422,6.779445295085274,1.9722032658202882
pad_thai,3,12,7.009543140729268,1.526376288129729
paella,2,389,7.061243639507147,1.7032329563656743
paella,3,90,7.178353913625082,1.5907701012614335
palak_paneer,1,45,6.773434440294902,2.0240496904490635
palak_paneer,2,419,7.265090468959762,1.5757654213080639
palak_paneer,3,14,7.0304770810263495,1.7437954168865841
pancake,1,108,7.275689423084259,1.4143876612479205
pancake,2,365,7.152779318208564,1.6705658851456224
pancake,3,12,6.535821388165156,2.170980997323968
paneer_tikka,1,50,6.9601388263702395,1.657095218839847
paneer_tikka,2,409,7.110792007889316,1.6862247299166016
panna_cotta,1,16,7.82243749499321,0.3106278749640324
panna_cotta,2,206,7.56618972889428,1.0745326030352056
panna_cotta,3,227,7.502862897738486,1.1372233755967422
panna_cotta,4,26,7.8633853288797235,0.3282216865151452
papaya_salad,1,44,6.673780660737645,1.9316910034166805
papaya_salad,2,419,7.23286314824316,1.5823187901450573
papaya_salad,3,7,6.562603609902518,2.3737274351296382
pasta_bolognese,1,14,6.092927438872201,2.259730371790143
pasta_bolognese,2,353,7.004451241439193,1.7579666622286279
pasta_bolognese,3,106,7.244291746391441,1.6393820272361679
pasta_bolognese,4,8,7.897527277469635,0.15423911655787106
pasta_carbonara,1,25,6.892317752838135,1.91603379404387
pasta_carbonara,2,365,7.082887263167394,1.7430241498050327
pasta_carbonara,3,86,7.146778889866763,1.686836101128554
pasta_carbonara,4,7,7.537569114140102,0.7780236725339595
patatas_bravas,1,5,7.750036525726318,0.4060722151612431
patatas_bravas,2,422,7.37008185776489,1.2736693977368547
patatas_bravas,3,57,7.214435276232268,1.3405477364869427
peking_duck,1,27,6.805860311896713,1.854975930342486
peking_duck,2,427,7.052443311979396,1.6366771730019334
peking_duck,3,33,7.449108152678519,1.0103681928165795
penne_arrabbiata,1,5,7.446855640411377,0.5568466251357483
penne_arrabbiata,2,148,7.141246355868675,1.6129282955691482
penne_arrabbiata,3,28,7.28296298640115,1.4134915117149531
pho,1,163,6.929977697097451,1.7468415258119692
pho,2,324,7.020754561012174,1.754277601141512
pita,1,145,7.017105982221406,1.7639099094377755
pita,2,305,7.011953960481237,1.7715165726536206
pita,3,19,7.648463299399928,1.012279087194523
pizza,1,156,6.426548915795791,2.1992210811858124
pizza,2,307,7.019451860107894,1.7101789200839057
pizza,3,12,7.318724075953166,1.50009296896234
pizza_margherita,1,49,6.626210966888739,2.014797235945685
pizza_margherita,2,416,7.164574708216465,1.5755906673358553
pizza_margherita,3,23,7.157043861306232,1.5019251580410948
pozole,1,185,7.280634157077686,1.3980113438089203
pozole,2,286,7.184521265796848,1.5510621045130193
pozole,3,6,7.176958004633586,1.934958774610262
pulled_pork,1,73,6.889345100481216,1.9501540914411832
pulled_pork,2,411,6.990079063858719,1.7324999114771231
quesadilla,1,154,6.811633041926792,1.9670113662784507
quesadilla,2,316,6.7964671420145635,1.9813095286107232
