main,side,H_meal,E_meal,log_DEI_meal,total_cal,total_protein,main_cuisine,side_cuisine
churrasco,rojak,2.6855909496284065,0.783455046245438,1.2319423911117133,908.25,71.88999999999999,South American,Indonesian
pot_roast,fufu,3.438572591006424,1.004523168641692,1.2305434709404193,934.0,71.39999999999999,American,African
donburi,adobo,2.0937275036032528,0.6183506062336581,1.2196456303750018,950.53,92.06700000000001,Japanese,Filipino
fajita,sardines_grilled,1.430312331789102,0.42358203994988164,1.216900899022707,906.6,82.1,Mexican,Portuguese
churrasco,chimichurri,2.798,0.8307501257575773,1.2143310966123686,1113.0500000000002,67.19,South American,South American
churrasco,hot_and_sour_soup,3.0791890167997797,0.9146866385063683,1.2138400000216114,907.75,78.64999999999999,South American,Chinese
churrasco,caesar_salad,2.796055343980344,0.8331168054408049,1.2107910421876054,1058.2,79.28,South American,Other
churrasco,kimchi_jjigae,3.1895510752688176,0.9544305677832776,1.2065205585764973,1088.1,96.6,South American,Korean
pot_roast,coleslaw,3.090523480787536,0.9250015989785396,1.2063003006650475,998.05,70.00999999999999,American,American
pot_roast,rojak,3.0508108781994707,0.9146602320355276,1.2046100307649013,906.4,73.97,American,Indonesian
churrasco,soup,3.0222593090312686,0.9074497200758262,1.2031217865142405,945.05,79.21,South American,Other
fajita,adobo,2.0403678945375265,0.6155433636724046,1.1983800151378534,977.03,92.55199999999999,Mexican,Filipino
pot_roast,hot_and_sour_soup,3.4454143172535603,1.0458918242964579,1.1921742216506468,905.9,80.72999999999999,American,Chinese
churrasco,miso_soup,2.9237634016704637,0.8896529401612252,1.1897954698154374,856.05,76.83999999999999,South American,Japanese
donburi,yakitori,1.4890608388910325,0.4540822129932429,1.1876226232063964,907.1500000000001,78.15,Japanese,Japanese
chow_mein,yakitori,1.3519134488241693,0.4135635884371708,1.184464953786482,1194.9,77.69000000000001,Chinese,Japanese
pot_roast,soup,3.373890118744699,1.0386549058659158,1.1781399002375947,943.2,81.28999999999999,American,Other
pot_roast,miso_soup,3.3118176773589325,1.0208581259513148,1.1768536123471474,854.2,78.91999999999999,American,Japanese
pot_roast,caesar_salad,3.1096253751124157,0.9643219912308945,1.1708322851150323,1056.35,81.35999999999999,American,Other
pot_roast,kimchi_jjigae,3.49515997698504,1.0856357535733672,1.1692133843525585,1086.25,98.67999999999999,American,Korean
pot_roast,chimichurri,3.096095122390209,0.9619553115476669,1.1689289626298334,1111.2,69.27,American,South American
fajita,yakitori,1.4503843838697583,0.4512749704319893,1.1675070483543544,933.6500000000001,78.635,Mexican,Japanese
chow_mein,adobo,1.820873020641535,0.5778319816775861,1.147788209456563,1238.28,91.607,Chinese,Filipino
churrasco,idli,2.8045261722744317,0.8965702384699492,1.1404132437424463,1026.85,80.72,South American,Indian
churrasco,minestrone,2.78425825102385,0.9002048151765711,1.1291144698804858,1037.75,73.07,South American,Italian
chow_mein,dosa,1.0934276276528683,0.3556425330377388,1.1231465480910376,1189.75,53.36500000000001,Chinese,Indian
