dish_id,cuisine,H_mean,E_composite,log_DEI,NDI,log_NDI,log_DEI_N,calorie_kcal,protein_g,meal_role,rank_DEI,rank_DEI_N,rank_shift_N,is_pareto_3d
lobster_roll,American,7.177,0.1997214767272574,3.5817129678371287,7.154178257007173,1.967696557636712,4.565561246655485,556.75,42.03999999999999,Full Main,128.0,94.0,-34,False
dakgalbi,Korean,7.097912706434727,0.2163950379212937,3.490450418212134,8.378780612835483,2.125702392311341,4.553301614367804,431.95,51.74,Full Main,148.0,95.0,-53,False
mapo_tofu,Chinese,6.879,0.2133064982371322,3.473498481266013,8.60080918884979,2.151856290559833,4.54942662654593,453.19999999999993,32.055,Full Main,154.0,96.0,-58,False
wonton_soup,Chinese,6.753,0.1715262451683963,3.673005841625337,5.637598194850105,1.7294581228323316,4.537734903041502,408.71999999999997,33.800000000000004,Full Main,105.0,97.0,-8,False
mujaddara,Lebanese,7.595059085399546,0.1930589222252236,3.67225775569725,5.525330296859296,1.7093430278539063,4.526929269624204,682.8,28.76,Full Main,107.0,98.0,-9,False
penne_arrabbiata,Italian,7.216,0.1413938119152791,3.932507072213009,3.265122614994569,1.1832973163860552,4.5241557304060365,636.49,18.236,Full Main,59.0,99.0,40,False
eggs_benedict,American,7.311706743478775,0.1708245348553931,3.756595088398903,4.6409907050691075,1.5349278574708034,4.524059017134305,663.25,33.035000000000004,Full Main,91.0,100.0,9,False
aji_de_gallina,South American,7.522912708681021,0.2064411581111852,3.5956932470522984,6.173775906581849,1.8203106291112063,4.505848561607902,619.4,49.900000000000006,Full Main,126.0,101.0,-25,False
pajeon,Korean,7.274805528327517,0.1644038414617883,3.789846511276053,4.042465852077682,1.396854865204673,4.488273943878388,541.0,21.97,Full Main,85.0,102.0,17,False
raclette,Swiss,7.603023329000363,0.2387250995474016,3.4609885747855205,7.78475169259552,2.0521669091569286,4.4870720293639845,568.5999999999999,32.22,Full Main,157.0,103.0,-54,False
blini,Russian,7.542095698562323,0.1563061924550484,3.8764385108122665,3.3829038239757963,1.2187344601824515,4.485805740903492,492.55,15.155,Full Main,68.0,104.0,36,False
ravioli,Italian,7.222,0.1935701450266944,3.619247248459304,5.570406737884153,1.7174680742325992,4.477981285575604,719.5,31.240000000000002,Heavy Main,122.0,105.0,-17,False
warak_enab,Lebanese,7.38352973985672,0.2056933839172815,3.58062045539152,5.969346478086368,1.7866374537552645,4.473939182269152,383.29999999999995,17.849999999999998,Light Main,131.0,106.0,-25,False
larb,Thai,7.071,0.2198598697019789,3.4707668040945663,7.386347703641985,1.9996333913637572,4.470583499776445,430.2,43.925,Full Main,155.0,107.0,-48,False
nasi_lemak,Indonesian,7.113173599044482,0.1665603804553572,3.754345891260437,4.158558713014158,1.4251685510231744,4.466930166772023,595.9,24.1,Full Main,92.0,108.0,16,False
cubano_sandwich,Caribbean,7.529457939863205,0.2115503017405358,3.5721155279677506,5.9812968730166185,1.7886374128474167,4.466434234391459,580.9,42.41,Full Main,133.0,109.0,-24,False
mango_sticky_rice,Thai,7.382,0.1575942646055001,3.846776098925454,3.3720016210553676,1.2155065208795195,4.454529359365214,528.4,6.77,Full Main,78.0,110.0,32,False
grilled_cheese,American,7.194,0.1882054209607936,3.643468593264111,5.053720217610839,1.620124648828759,4.45353091767849,561.3499999999999,22.335,Full Main,112.0,111.0,-1,False
injera,African,7.2875367732048035,0.1348193172949901,3.9899853851253,2.5203764489478773,0.924408274869704,4.452189522560151,546.0,15.0,Full Main,50.0,112.0,62,False
