family,dish_1,dish_2,H_1,H_2,H_diff,n_1,n_2,t_stat,p_value,cohens_d,effect_category,significant_005,significant_bonf
Dessert,brownie,gelato,7.362209852695465,7.564455893039703,0.20224604034423788,500,500,2.586039615241944,0.00985818574920143,0.16355550607180058,negligible,True,False
Dessert,brownie,ice_cream,7.362209852695465,7.337649823665619,0.02456002902984622,500,500,0.27936222294736107,0.7800247473164472,0.017668418334428358,negligible,False,False
Dessert,brownie,panna_cotta,7.362209852695465,7.57038509607315,0.2081752433776849,500,500,2.682800373523275,0.007430459295844684,0.16967519375768073,negligible,True,False
Dessert,brownie,tiramisu,7.362209852695465,7.448100246667862,0.08589039397239695,500,500,1.006375053758126,0.31447975218542534,0.06364874700500148,negligible,False,False
Dessert,cheesecake,creme_brulee,7.2683516690731045,7.324001138687134,0.05564946961402928,500,500,0.6058733939833378,0.5447367412123355,0.038318797973678084,negligible,False,False
Dessert,cheesecake,gelato,7.2683516690731045,7.564455893039703,0.29610422396659875,500,500,3.6322291300848626,0.0002966895190058815,0.2297223406936037,small,True,True
Dessert,cheesecake,ice_cream,7.2683516690731045,7.337649823665619,0.06929815459251465,500,500,0.7625593994234988,0.44590694142353615,0.048228491066966916,negligible,False,False
Dessert,cheesecake,panna_cotta,7.2683516690731045,7.57038509607315,0.30203342700004576,500,500,3.7317679320870547,0.00020206538696250387,0.23601772729143283,small,True,True
Dessert,cheesecake,tiramisu,7.2683516690731045,7.448100246667862,0.17974857759475782,500,500,2.03350463875818,0.04226921747927567,0.12861012581987524,negligible,True,False
Dessert,creme_brulee,gelato,7.324001138687134,7.564455893039703,0.24045475435256947,500,500,3.012838984999368,0.0026586542875163322,0.19054866831895756,negligible,True,False
Dessert,creme_brulee,ice_cream,7.324001138687134,7.337649823665619,0.01364868497848537,500,500,0.15276592502988184,0.8786137651242699,0.009661765439139056,negligible,False,False
Dessert,creme_brulee,panna_cotta,7.324001138687134,7.57038509607315,0.24638395738601648,500,500,3.1104462565606426,0.0019259023067844815,0.19672189420552164,negligible,True,True
Dessert,creme_brulee,tiramisu,7.324001138687134,7.448100246667862,0.12409910798072854,500,500,1.4294211715017693,0.1531982945387684,0.09040453275223517,negligible,False,False
Dessert,gelato,ice_cream,7.564455893039703,7.337649823665619,0.2268060693740841,500,500,2.8823887091025413,0.004037141945436551,0.18229826845433078,negligible,True,False
Dessert,gelato,panna_cotta,7.564455893039703,7.57038509607315,0.005929203033447017,500,500,0.08854673714032638,0.9294599119686507,0.0056001873747931145,negligible,False,False
Dessert,gelato,tiramisu,7.564455893039703,7.448100246667862,0.11635564637184093,500,500,1.5349029995810655,0.1251376836429789,0.09707578932201275,negligible,False,False
Dessert,ice_cream,panna_cotta,7.337649823665619,7.57038509607315,0.2327352724075311,500,500,2.980728977776982,0.002950882687030631,0.18851785314881359,negligible,True,False
Dessert,ice_cream,tiramisu,7.337649823665619,7.448100246667862,0.11045042300224317,500,500,1.28750575590974,0.19821764325382257,0.08142901378503145,negligible,False,False
Dessert,panna_cotta,tiramisu,7.57038509607315,7.448100246667862,0.12228484940528794,500,500,1.6266386393248775,0.10414530374305028,0.102877660606075,negligible,False,False
Curry,butter_chicken,chana_masala,7.296981916666031,7.131082696199417,0.16589922046661343,500,500,1.6236065988753619,0.10477726825263133,0.10268589753051038,negligible,False,False
Curry,butter_chicken,dal,7.296981916666031,6.929083550214767,0.3678983664512634,500,500,3.379369607971459,0.0007555951149260506,0.21373010033480233,small,True,True
Curry,butter_chicken,green_curry,7.296981916666031,7.287345746040344,0.009636170625686447,500,500,0.0978347844451849,0.922083130743524,0.0061876150647679415,negligible,False,False
Curry,butter_chicken,korma,7.296981916666031,7.242839961528778,0.054141955137252396,500,500,0.5421039314625964,0.5878680329079655,0.03428566303907237,negligible,False,False
Curry,butter_chicken,massaman_curry,7.296981916666031,7.312558967113495,0.01557705044746438,500,500,0.16032239670705692,0.8726595812069602,0.010139678670627572,negligible,False,False
Curry,butter_chicken,red_curry,7.296981916666031,7.176237165927887,0.12074475073814384,500,500,1.2096457141737589,0.22670156054259877,0.07650471237300205,negligible,False,False
Curry,butter_chicken,tikka_masala,7.296981916666031,7.079414768695831,0.2175671479701995,500,500,2.0575129536244545,0.03990094798335027,0.1301285449750734,negligible,True,False
Curry,chana_masala,dal,7.131082696199417,6.929083550214767,0.20199914598464996,500,500,1.7985259552403527,0.07239956006675756,0.11374876898979124,negligible,False,False
Curry,chana_masala,green_curry,7.131082696199417,7.287345746040344,0.15626304984092698,500,500,1.5276138666142323,0.1269268749308542,0.09661478407515249,negligible,False,False
Curry,chana_masala,korma,7.131082696199417,7.242839961528778,0.11175726532936103,500,500,1.0785180985169815,0.28106369972530054,0.06821147378055059,negligible,False,False
Curry,chana_masala,massaman_curry,7.131082696199417,7.312558967113495,0.1814762709140778,500,500,1.796637075905913,0.07269846379335233,0.11362930577135018,negligible,False,False
Curry,chana_masala,red_curry,7.131082696199417,7.176237165927887,0.04515446972846959,500,500,0.4359900523618565,0.6629384230860905,0.027574432052790813,negligible,False,False
Curry,chana_masala,tikka_masala,7.131082696199417,7.079414768695831,0.051667927503586064,500,500,0.4727637569530511,0.6364855030744301,0.029900205342998136,negligible,False,False
Curry,dal,green_curry,6.929083550214767,7.287345746040344,0.35826219582557695,500,500,3.2876581151460966,0.0010466676471509733,0.20792975623595567,small,True,True
Curry,dal,korma,6.929083550214767,7.242839961528778,0.313756411314011,500,500,2.846631645446594,0.0045111574853785716,0.1800367931824824,negligible,True,False
Curry,dal,massaman_curry,6.929083550214767,7.312558967113495,0.3834754168987278,500,500,3.5583405501843828,0.0003915336021057374,0.22504921658238666,small,True,True
Curry,dal,red_curry,6.929083550214767,7.176237165927887,0.24715361571311956,500,500,2.243384653397549,0.025096018886794854,0.141884103452073,negligible,True,False
Curry,dal,tikka_masala,6.929083550214767,7.079414768695831,0.1503312184810639,500,500,1.300836887065466,0.1936153177047414,0.082272148549802,negligible,False,False
Curry,green_curry,korma,7.287345746040344,7.242839961528778,0.04450578451156595,500,500,0.4451061168211485,0.6563396632264035,0.028150982592556297,negligible,False,False
Curry,green_curry,massaman_curry,7.287345746040344,7.312558967113495,0.025213221073150827,500,500,0.25918354029634955,0.7955471209786411,0.016392206387249943,negligible,False,False
Curry,green_curry,red_curry,7.287345746040344,7.176237165927887,0.11110858011245739,500,500,1.111822482848257,0.26648242717494236,0.07031782799167968,negligible,False,False
Curry,green_curry,tikka_masala,7.287345746040344,7.079414768695831,0.20793097734451305,500,500,1.9643596503246157,0.04977041403298155,0.12423701277515403,negligible,True,False
Curry,korma,massaman_curry,7.242839961528778,7.312558967113495,0.06971900558471678,500,500,0.7065459509088395,0.48001410191510596,0.04468588952882895,negligible,False,False
Curry,korma,red_curry,7.242839961528778,7.176237165927887,0.06660279560089144,500,500,0.657522411226683,0.5109966818225324,0.04158536864164372,negligible,False,False
Curry,korma,tikka_masala,7.242839961528778,7.079414768695831,0.1634251928329471,500,500,1.5253918626437186,0.12748171192697894,0.09647425220481728,negligible,False,False
Curry,massaman_curry,red_curry,7.312558967113495,7.176237165927887,0.13632180118560822,500,500,1.3822982269291932,0.16719031397597012,0.08742421605417097,negligible,False,False
Curry,massaman_curry,tikka_masala,7.312558967113495,7.079414768695831,0.23314419841766387,500,500,2.2286545560455586,0.026064601540597917,0.14095249029630694,negligible,True,False
Curry,red_curry,tikka_masala,7.176237165927887,7.079414768695831,0.09682239723205566,500,500,0.9041655105711556,0.3661283051093791,0.057184447903478035,negligible,False,False
Salad/Cold,caesar_salad,caprese,6.746965309858322,7.135709910869599,0.3887446010112763,500,500,3.3699476297582787,0.0007808361644344985,0.2131342021104397,small,True,True
Salad/Cold,caesar_salad,coleslaw,6.746965309858322,6.703614482402801,0.04335082745552121,500,500,0.3582076861870172,0.7202636583766466,0.0226550432745962,negligible,False,False
Salad/Cold,caesar_salad,papaya_salad,6.746965309858322,7.1934932837486265,0.4465279738903041,500,500,4.001935742577476,6.759929205915318e-05,0.2531046399236421,small,True,True
Salad/Cold,caesar_salad,tabbouleh,6.746965309858322,7.3562949101924895,0.609329600334167,500,500,5.780136135777811,1.023354117778262e-08,0.3655679074980431,small,True,True
Salad/Cold,caprese,coleslaw,7.135709910869599,6.703614482402801,0.4320954284667975,500,500,3.720808647534603,0.0002097797086841765,0.23532460127719992,small,True,True
Salad/Cold,caprese,papaya_salad,7.135709910869599,7.1934932837486265,0.057783372879027795,500,500,0.5438330743058795,0.5866785106174937,0.034395023634763454,negligible,False,False
Salad/Cold,caprese,tabbouleh,7.135709910869599,7.3562949101924895,0.22058499932289077,500,500,2.211077386157979,0.02726755766580466,0.13984081246301738,negligible,True,False
Salad/Cold,coleslaw,papaya_salad,6.703614482402801,7.1934932837486265,0.4898788013458253,500,500,4.3592380473128145,1.4446311954814159e-05,0.2757024218474668,small,True,True
Salad/Cold,coleslaw,tabbouleh,6.703614482402801,7.3562949101924895,0.6526804277896883,500,500,6.142101917820958,1.216133647787169e-09,0.38846063362405153,small,True,True
Salad/Cold,papaya_salad,tabbouleh,7.1934932837486265,7.3562949101924895,0.16280162644386298,500,500,1.7070608010377222,0.08812852247283702,0.10796400471341455,negligible,False,False
Seafood,ceviche,fish_and_chips,7.3008384318351744,6.800981203317642,0.49985722851753245,500,500,4.505134637961145,7.470676369986242e-06,0.2849297324335057,small,True,True
Seafood,ceviche,sashimi,7.3008384318351744,7.111825874567032,0.1890125572681427,500,500,1.9049303251283323,0.0570777541887064,0.12047837222661224,negligible,False,False
Seafood,ceviche,sushi,7.3008384318351744,6.973915680646896,0.3269227511882784,500,500,3.1290155720382087,0.0018061540757311357,0.1978963208355082,negligible,True,False
Seafood,ceviche,tempura,7.3008384318351744,6.976093923807144,0.32474450802803023,500,500,3.1405738983344116,0.0017368027671546562,0.19862733357621654,negligible,True,True
Seafood,fish_and_chips,sashimi,6.800981203317642,7.111825874567032,0.31084467124938975,500,500,2.7267305986665846,0.006512700944995382,0.17245358514921783,negligible,True,False
