from_dish,to_dish,meal_role,E_reduction_pct,H_change,cal_from,cal_to,protein_from,protein_to
profiterole,laksa,Heavy Main,30.258052223811756,1.7952000000000004,721.1,872.5500000000001,12.97,23.58
burrito,mafe,Heavy Main,30.25548298327535,3.2519000000000005,847.6999999999999,802.3000000000001,53.81000000000001,53.45
paneer_butter,chana_masala,Heavy Main,30.24006531845309,-1.6152000000000006,983.85,941.89,39.690000000000005,44.892
dan_tat,chilaquiles,Full Main,30.231069971049756,-3.9060000000000006,626.6,490.8,13.579999999999998,22.8
ghormeh_sabzi,shawarma,Full Main,30.2304852730016,0.14149999999999974,596.4,551.8,36.62,57.934000000000005
raclette,nasi_lemak,Full Main,30.2292131111732,0.2526999999999999,568.5999999999999,595.9,32.22,24.1
tapas,xiao_long_bao,Full Main,30.222544770623553,1.4021,486.8999999999999,447.82,19.76,28.46
pizza_margherita,pasta_carbonara,Heavy Main,30.212629518653483,1.3996,856.09,978.22,32.796,56.308
shawarma,cubano_sandwich,Full Main,30.21165182971878,-1.7020999999999997,551.8,580.9,57.934000000000005,42.41
simit,scallion_pancake,Full Main,30.20894955176724,0.45069999999999943,469.3,601.0,12.685,10.44
pasta_bolognese,borek,Heavy Main,30.206072896310797,-2.5051000000000005,829.4000000000001,728.5,43.255,28.12
gyudon,lumpia,Full Main,30.204644609918702,-1.3699000000000003,557.3000000000001,574.1999999999999,32.725,21.08
katsu_curry,feijoada,Heavy Main,30.199613705838253,-1.5539000000000005,1084.9,1137.45,54.53,73.74999999999999
tempura,fondue,Heavy Main,30.198958616455062,-4.6474,749.3,858.0,36.7,44.75
manti_turkish,manty,Full Main,30.198387887823547,-1.6953000000000005,592.95,672.9000000000001,32.305,33.83
palak_paneer,egusi_soup,Heavy Main,30.186558116235794,1.1148999999999996,726.0400000000001,751.4000000000001,32.862,39.06999999999999
sweet_and_sour,paneer_butter,Heavy Main,30.170398431162027,4.158600000000001,982.3,983.85,48.7,39.690000000000005
mujaddara,injera,Full Main,30.166751300046553,2.5299000000000005,682.8,546.0,28.76,15.0
dan_tat,crepe,Full Main,30.16376816802498,0.8205,626.6,497.15,13.579999999999998,15.735
lasagna,katsu_curry,Heavy Main,30.163246626522323,-1.2371999999999996,1042.0500000000002,1084.9,63.81,54.53
sundubu_jjigae,idli,Light Main,30.15589230119591,-4.898899999999999,274.45,306.0,24.75,15.400000000000002
duck_confit,conch_fritters,Heavy Main,30.15411312127419,-1.5518999999999998,849.95,701.7,48.32,29.2
korma,ful_medames,Full Main,30.143729965360173,-4.049499999999999,658.94,671.1,59.84200000000001,33.484
bibimbap,piri_piri,Full Main,30.143678691195525,-0.009999999999999787,676.3,650.85,36.14,62.355
naan,gnocchi,Full Main,30.141477344683874,5.672300000000001,472.75,601.2499999999999,13.09,21.075
char_siu,nasi_padang,Full Main,30.128662224953633,2.8651,620.9000000000001,624.1500000000001,56.105,38.000000000000014
mofongo,naan,Full Main,30.123326031164382,-4.7032,514.9,472.75,19.22,13.09
katsu,bun_cha,Heavy Main,30.121920890257787,-2.1399999999999997,996.9,896.3000000000001,58.27,39.245
taco,com_tam,Full Main,30.107495687208168,2.0514,528.6,617.7,36.815000000000005,44.03
burrito,hu_tieu,Heavy Main,30.09681243744678,0.34120000000000017,847.6999999999999,743.7500000000001,53.81000000000001,31.87
enchilada,aji_de_gallina,Full Main,30.096058452043543,1.8756000000000004,657.6,619.4,47.68,49.900000000000006
bacalhau,tom_kha,Full Main,30.08310379309403,-1.2811000000000003,457.3,548.9,41.510000000000005,29.835000000000004
tagine,korean_fried_chicken,Heavy Main,30.078222740808354,0.8478999999999997,868.05,1102.2,55.904,65.83999999999999
dakgalbi,dal,Full Main,30.07404163280456,-0.11950000000000038,431.95,486.74,51.74,27.102
pastitsio,orange_chicken,Heavy Main,30.068833323388716,-0.9939999999999998,1186.3,942.65,60.78,55.20000000000001
focaccia,mango_sticky_rice,Full Main,30.06625123872299,4.901800000000001,613.6,528.4,12.0,6.77
banh_xeo,xiao_long_bao,Full Main,30.061194285033228,3.2604999999999995,521.94,447.82,27.588,28.46
pho,burrito,Heavy Main,30.050784819197276,-5.932500000000001,830.05,847.6999999999999,33.29,53.81000000000001
char_siu,quesadilla,Full Main,30.05062099885103,2.3299000000000003,620.9000000000001,677.4000000000001,56.105,41.505
karaage,butter_chicken,Heavy Main,30.050553063646763,5.378000000000001,812.2,807.2900000000001,52.00500000000001,52.602
taco,poutine,Full Main,30.04501915186567,-4.3469999999999995,528.6,503.35,36.815000000000005,19.135
pulled_pork,piri_piri,Full Main,30.03579242061425,-3.0109999999999992,548.1,650.85,55.45,62.355
saganaki,blini,Full Main,30.027963009398356,-3.445400000000001,637.3000000000001,492.55,26.61,15.155
lahmacun,french_onion_soup,Full Main,30.01977454407671,0.8230000000000004,515.9499999999999,615.6,29.76,28.98
french_onion_soup,pupusa,Full Main,30.016172200825288,-1.2367999999999997,615.6,463.50000000000006,28.98,31.21
jollof_rice,gnocchi,Full Main,29.996643116398413,0.7225000000000001,655.0500000000001,601.2499999999999,31.370000000000005,21.075
sweet_and_sour,fesenjan,Heavy Main,29.993335895953138,2.6276,982.3,1036.5,48.7,60.290000000000006
spanakopita,tortilla_espanola,Full Main,29.97926211983654,-1.4775,652.5999999999999,578.2,28.53,17.040000000000003
poutine,fried_rice,Full Main,29.977390544004006,0.9434,503.35,546.3000000000001,19.135,15.32
donburi,pajeon,Full Main,29.97660505041874,5.1116,568.8000000000001,541.0,41.505,21.97
mapo_tofu,gnocchi,Full Main,29.976050733075866,1.369200000000001,453.19999999999993,601.2499999999999,32.055,21.075
chow_fun,red_curry,Heavy Main,29.961043877856397,1.6969000000000003,900.95,850.05,27.855,45.84999999999999
currywurst,blini,Full Main,29.959470753780344,-3.3193,562.9,492.55,29.32,15.155
kibbeh,pizza_margherita,Heavy Main,29.955336919876572,-5.154400000000001,755.8500000000001,856.09,38.835,32.796
french_onion_soup,clam_chowder,Full Main,29.952977830311777,-0.8163999999999998,615.6,595.75,28.98,28.985000000000003
borek,galette,Heavy Main,29.945101241041662,0.5534000000000008,728.5,704.25,28.12,26.435
burrito,ravioli,Heavy Main,29.942402515043604,4.287599999999999,847.6999999999999,719.5,53.81000000000001,31.24
doner_kebab,tandoori_chicken,Full Main,29.93598617077208,-2.9291,627.4499999999999,519.3899999999999,46.05,68.57200000000002
iskender_kebab,paneer_butter,Heavy Main,29.914407601371867,0.604000000000001,772.7,983.85,47.05,39.690000000000005
pao_de_queijo,chilaquiles,Full Main,29.913288443599967,0.4040999999999997,419.9,490.8,18.55,22.8
ribs,katsu,Heavy Main,29.908332212386306,-0.8911000000000007,814.0,996.9,83.08999999999999,58.27
chow_fun,green_curry,Heavy Main,29.890233021649276,-0.7495000000000003,900.95,854.75,27.855,46.04999999999999
gyudon,eggplant_parm,Full Main,29.874348431518143,0.7191999999999998,557.3000000000001,607.5,32.725,23.82
eggplant_parm,lobster_roll,Full Main,29.866041343856008,2.9307999999999996,607.5,556.75,23.82,42.03999999999999
samosa,risotto,Full Main,29.862583183638137,1.8769999999999998,551.91,502.4,8.113999999999999,15.500000000000002
chile_relleno,currywurst,Full Main,29.85789514553323,0.4001000000000001,594.3,562.9,23.89,29.32
pastitsio,general_tso,Heavy Main,29.855225032401435,2.3797000000000006,1186.3,946.6,60.78,56.38500000000001
caesar_salad,gado_gado,Light Main,29.84779214074999,5.0588999999999995,337.35,397.3,13.96,22.78
iskender_kebab,paella,Heavy Main,29.846094458630134,0.36150000000000126,772.7,708.15,47.05,47.42
pao_de_queijo,crepe,Full Main,29.845680096247275,5.1306,419.9,497.15,18.55,15.735
kibbeh,plov,Heavy Main,29.845447628506804,-4.0501000000000005,755.8500000000001,790.1000000000001,38.835,32.534
kitfo,iskender_kebab,Heavy Main,29.83110142405855,1.6984999999999992,743.3000000000001,772.7,53.470000000000006,47.05
doner_kebab,french_onion_soup,Full Main,29.827247665699407,1.3875000000000002,627.4499999999999,615.6,46.05,28.98
borscht,dosa,Light Main,29.82545324257419,-6.5172,288.9,333.20000000000005,16.46,12.32
pupusa,tamale,Full Main,29.823102106681336,0.4652000000000003,463.50000000000006,429.19999999999993,31.21,25.765
chile_relleno,saganaki,Full Main,29.78923641867749,0.5262000000000011,594.3,637.3000000000001,23.89,26.61
fried_chicken,burrito,Heavy Main,29.788857065649633,-1.5013,1048.02,847.6999999999999,67.738,53.81000000000001
osso_buco,suya,Heavy Main,29.78146746757592,-0.047900000000000276,828.7,794.7,67.1,61.16
shashlik,piri_piri,Full Main,29.776582415808967,-1.9486999999999997,613.3299999999999,650.85,51.352,62.355
tortilla_espanola,injera,Full Main,29.762778220642538,3.2969,578.2,546.0,17.040000000000003,15.0
general_tso,red_curry,Heavy Main,29.760695260207125,0.7164000000000001,946.6,850.05,56.38500000000001,45.84999999999999
naan,polenta,Full Main,29.760063695850214,-0.48139999999999983,472.75,423.8,13.09,14.13
kebab,mac_and_cheese,Heavy Main,29.733626590789186,-1.0781999999999998,712.8499999999999,934.2,52.034,37.48
nachos,galette,Heavy Main,29.72491114452742,-2.9066,709.6999999999999,704.25,33.135000000000005,26.435
gyro,eggplant_parm,Full Main,29.722959936833877,-0.6158999999999999,637.1,607.5,47.26,23.82
pasta_bolognese,souvlaki,Heavy Main,29.720320740782498,1.3918999999999997,829.4000000000001,705.0999999999999,43.255,55.07
pernil,burrito,Heavy Main,29.719904232982756,-3.2519000000000005,890.75,847.6999999999999,83.07999999999998,53.81000000000001
manty,dumplings,Full Main,29.71604848841103,3.333500000000001,672.9000000000001,599.2,33.83,36.57
pretzel,scallion_pancake,Full Main,29.712933456308537,2.724599999999999,527.85,601.0,12.09,10.44
burrito,chow_mein,Heavy Main,29.69072339055331,-1.4567999999999999,847.6999999999999,856.5500000000001,53.81000000000001,41.04500000000001
general_tso,green_curry,Heavy Main,29.689681847338097,-1.7300000000000004,946.6,854.75,56.38500000000001,46.04999999999999
samgyeopsal,mujaddara,Full Main,29.685430954095015,-0.5261000000000005,568.5,682.8,56.93000000000001,28.76
biryani,tikka_masala,Heavy Main,29.68195148499569,-1.3285,706.7400000000001,723.7900000000001,45.902,57.232000000000006
burrito,ramen,Heavy Main,29.679528706979703,-0.4444999999999997,847.6999999999999,784.5500000000001,53.81000000000001,45.43
sfeeha,bak_kut_teh,Full Main,29.66231880397646,-3.9874,605.3,516.75,30.01,56.290000000000006
tagine,pernil,Heavy Main,29.656032677847644,1.9422000000000001,868.05,890.75,55.904,83.07999999999998
cornbread,nasi_lemak,Full Main,29.63792501402633,1.5113000000000003,495.35,595.9,12.5,24.1
shawarma,mapo_tofu,Full Main,29.63230000865534,-0.2719000000000005,551.8,453.19999999999993,57.934000000000005,32.055
birria,tagine,Heavy Main,29.619371621559843,-3.8023000000000002,702.6,868.05,58.74399999999999,55.904
shawarma,jollof_rice,Full Main,29.611600449144827,0.37480000000000047,551.8,655.0500000000001,57.934000000000005,31.370000000000005
plov,palak_paneer,Heavy Main,29.601045386200937,3.7826000000000004,790.1000000000001,726.0400000000001,32.534,32.862
tagine,fried_chicken,Heavy Main,29.586949401245473,0.19159999999999977,868.05,1048.02,55.904,67.738
