dish_id,H_mean,H_bert,E_composite,E_carbon,E_water,E_energy,log_H,log_E,log_DEI,Z_H,Z_E,DEI_z,cuisine,cook_method,source,DEI_tier,is_pareto,rank_DEI,rank_invE,rank_shift,meal_role,NDI,protein_g,category
churros_spanish,8.4772,7.323,0.3234748223106578,1.554,885.8,1.0,2.137380206600282,-1.1286339970942594,3.266014203694541,1.1647100929582608,0.3586011193141479,0.8061089736441129,Spanish,unknown,original,C,False,165,259,94,Heavy Main,1.6484727309772629,13.435,Bread/Pastry
clam_chowder,7.9892,6.858,0.1957745939328879,2.291,749.0,0.4,2.07809062960888,-1.6307913124993088,3.7088819421081887,0.9264451496960692,-0.4000102245894873,1.3264553742855565,American,unknown,original,B,False,76,129,53,Full Main,5.114757066498569,28.985000000000003,Soup/Stew
club_sandwich,4.8287,6.95,0.0745333152011155,1.1245,644.0,0.0,1.5745772802980966,-2.596509069645958,4.171086349944055,-0.6166621314108114,-1.1202517665483591,0.503589635137548,American,unknown,original,A,False,38,33,-5,Full Main,5.137354390140612,37.540000000000006,Other
cobb_salad,2.798,7.0838,0.0988467138988748,1.626,889.97,0.0,1.0289048762432895,-2.314184973227391,3.3430898494706804,-1.6081470090389534,-0.9758164723027708,-0.6323305367361826,American,cold,expanded,C,False,148,38,-110,Full Main,6.817678637419492,43.43,Salad/Cold/Side
coleslaw,2.6572,6.704,0.013196413963922,0.2035,134.3,0.0,0.9772729368089492,-4.327810155698477,5.3050830925074255,-1.6768923041441104,-1.4846275368154394,-0.192264767328671,American,unknown,original,A,False,14,5,-9,Light Main,5.497732075406327,2.61,Salad/Cold/Side
com_tam,8.6516,6.941,0.2925279261245002,2.3265,1381.5,0.6,2.1577442749370097,-1.2291951429376562,3.386939417874666,1.249860515304421,0.1747591105435972,1.075101404760824,Vietnamese,unknown,original,C,False,139,238,99,Full Main,5.248715093299843,44.03,Other
conch_fritters,5.7087,7.1416,0.2860612112475003,1.4340000000000002,514.78,1.0,1.7419913269939338,-1.2515494657215305,2.993540792715464,-0.18700403700358,0.1363431787492534,-0.3233472157528335,Caribbean,deep_fry,expanded,D,False,214,230,16,Heavy Main,3.812509755220314,29.2,Other
congee,2.4568,6.984,0.1429436030199488,0.9255,456.8,0.4,0.8988596901444755,-1.9453051109881232,2.8441648011325986,-1.7747371701886665,-0.7138560925676084,-1.0608810776210582,Chinese,unknown,original,D,False,241,61,-180,Light Main,4.1078533567901045,14.31,Other
coq_au_vin,8.3333,7.166,0.433244547442996,2.7775,1371.8,1.2,2.120259536192091,-0.836452935709711,2.956712471901802,1.0944512295659872,1.010695166133189,0.0837560634327978,French,unknown,original,D,False,220,298,78,Heavy Main,4.605528863622388,73.165,Other
coquito,4.3571,7.5858,0.0536235508357889,0.7460000000000001,568.41,0.0,1.4718066984441045,-2.9257669261403447,4.3975736245844494,-0.8469198101863233,-1.2444675541581025,0.3975477439717791,Caribbean,cold,expanded,A,False,29,23,-6,Full Main,3.268010457565969,9.283,Other
