dish_id,H_mean,E_composite,E_carbon,E_water,E_energy,log_H,log_E,log_DEI,DEI_z,Z_H,Z_E,cuisine,source,cook_method,DEI_tier,is_pareto,rank_DEI,rank_invE,rank_shift,category,protein_g,fat_g,carb_g,fiber_g,calorie_kcal,NDI,meal_role,log_NDI,log_DEI_N,H_controlled,log_DEI_ctrl,category_recipe,family,refinement_alpha
gyudon,5.2167,0.4060873920872168,7.163,2110.11,0.4,1.651865018073996,-0.9011868910973264,2.553051909171322,-1.2765883258567277,-0.4272219716039863,0.8493663542527413,Japanese,expanded,simmer,E,False,278,287.0,9,Noodle/Rice,32.725,15.695,66.735,1.58,557.3000000000001,6.9759720710734525,Full Main,1.942471683025478,3.8198280536815536,,,Red Meat Main,,
halloumi,8.4884,0.2737251146473554,3.525,903.9,0.6,2.1387005255547575,-1.2956309073813612,3.4343314329361188,1.107118657881372,1.1701784687052625,0.06305981082389049,Lebanese,expanded,grill,B,False,126,210.0,84,Other,37.5,59.5,1.95,0.0,692.9,6.59535378109487,Full Main,1.8863654285659608,4.278992955647148,,,Dairy Main,,
halo_halo,3.2587,0.0321684610849158,0.6815000000000001,324.745,0.0,1.181328342841382,-3.436768775837941,4.618097118679323,-0.011288349690545152,-1.3832112316600762,-1.371922881969531,Filipino,expanded,cold,A,False,24,9.0,-15,Dessert,6.085000000000001,13.89,47.675,2.47,330.0,3.587441514714242,Light Main,1.2774392784341737,6.077980344559552,,,Beverage,,
harissa,6.9238,0.0337149583840212,0.277,447.91,0.0,1.9349647518592314,-3.3898136711424534,5.324778423001685,1.769001722981953,0.40626590676258706,-1.362735816219366,African,expanded,raw,A,False,13,11.0,-2,Other,7.904999999999999,24.245,31.87,15.24,358.0,8.011402935983941,Light Main,2.0808658938065507,6.455923574893754,,,Mixed/Other,,
horiatiki,6.1523,0.0624649954359781,1.229,551.02,0.0,1.8168259956437758,-2.773148952163613,4.589974947807389,1.2215270915266996,0.02958270240442928,-1.1919443891222703,Greek,expanded,cold,A,False,27,25.0,-2,Other,11.77,33.54,10.45,2.28,381.2000000000001,6.348986794946921,Light Main,1.8482952403226944,5.6887777150241945,,,Mixed/Other,,
hot_dog,6.5556,0.186911584136972,0.9695,510.175,0.6,1.8803196462075353,-1.677119586040191,3.5574392322477264,0.6791545531246215,0.2264930540799251,-0.45266149904469644,American,expanded,grill,B,False,100,110.0,10,Other,20.275,24.465,28.075,2.005,415.7,4.952690241359956,Full Main,1.599930912050167,4.431233028192896,,,Mixed/Other,,
hu_tieu,2.798,0.1931435082000524,1.8215,905.125,0.4,1.0289048762432895,-1.6443218005819629,2.6732266768252524,-1.1925066519973337,-1.608147009038953,-0.41564035704161906,Vietnamese,expanded,boil,D,False,266,119.0,-147,Other,31.87,9.425,128.755,1.945,743.7500000000001,3.0529923484545325,Heavy Main,1.1161222075113206,4.143126441941275,,,Starch/Carb,,
idli,2.8199,0.1159702392454211,0.6375,544.0,0.3,1.0367014233283585,-2.154421679021593,3.1911231023499513,-0.7233613026140356,-1.5974543814622275,-0.8740930788481919,Indian,expanded,steam,C,False,176,43.0,-133,Other,15.400000000000002,0.8500000000000001,58.25,15.750000000000002,306.0,7.0658263305322135,Light Main,1.955269970448125,4.9964112003363175,,,Starch/Carb,,
injera,6.5556,0.1348193172949901,0.4775,274.75,0.5,1.8803196462075353,-2.0038197873955808,3.8841394336031163,0.9886119836867577,0.2264930540799251,-0.7621189296068327,African,expanded,pan_fry,A,False,63,53.0,-10,Bread/Pastry,15.0,1.5,114.45,4.05,546.0,2.5203764489478773,Full Main,0.924408274869704,4.452189522560151,,,Starch/Carb,,
iskender_kebab,7.8508,0.3672064267488129,4.378,1817.94,0.6,2.060615437429787,-1.0018311183497095,3.0624465557794966,0.24048014727982792,0.8588716493938409,0.618391502114013,Turkish,expanded,grill,C,False,194,270.0,76,Protein Main,47.05,50.01999999999999,33.38,2.22,772.7,5.886906185857912,Heavy Main,1.7727305941042866,3.903506473777761,,,Red Meat Main,Kebab/Grilled,0.1306752005137868
jalebi,5.7087,0.2667636352741989,0.979,398.08,1.0,1.7419913269939338,-1.3213922738022672,3.063383600796201,-0.20870873601666765,-0.18700403700357965,0.02170469901308799,Indian,expanded,deep_fry,C,False,193,202.0,9,Other,10.0,30.92,121.76,2.16,800.4000000000001,1.1723845869273155,Heavy Main,0.1590397831691686,3.3756661695686683,,,Dessert,,
jerk_chicken,3.6628,0.2704630231587363,2.1505,1219.08,0.6,1.29822788225144,-1.3076198881589145,2.6058477704103544,-1.2295914301879525,-1.1859102817169376,0.043681148471014834,Caribbean,expanded,grill,E,False,271,207.0,-64,Protein Main,63.1,29.29,25.115,5.13,617.1,5.682147305871176,Full Main,1.737329208099676,4.078781075626377,,,Poultry Main,Chicken,0.2123495462457249
jjajangmyeon,7.4181,0.2009040454731696,1.2305,882.1999999999999,0.5,2.0039229596991017,-1.6049278706135186,3.6088508303126203,1.0171452022415532,0.6476068113824671,-0.36953839085908613,Korean,expanded,stir_fry,B,False,92,133.0,41,Other,49.68,32.480000000000004,127.36,7.829999999999999,1011.0,3.839719792242047,Heavy Main,1.345399393166839,4.253386490234592,,,Starch/Carb,,
jokbal,4.6633,0.4363466234641828,2.4115,1546.645,1.2,1.5397233520209026,-0.829318343539154,2.369041695560057,-1.7265415696513775,-0.6974183232459887,1.0291232464053888,Korean,expanded,braise,E,False,296,301.0,5,Other,69.455,35.08,3.27,0.205,624.4000000000001,5.460363449633148,Full Main,1.6975153534082816,3.582978254985023,,,Pork Main,,
jollof_rice,8.2292,0.2133692450734617,2.1495,1065.865,0.4,2.1076888046179385,-1.5447310691816392,3.6524198737995777,1.3391127083236878,1.043624629988951,-0.2954880783347368,African,expanded,simmer,B,False,83,143.0,60,Noodle/Rice,31.370000000000005,28.265,68.465,3.4650000000000003,655.0500000000001,4.772464303034488,Full Main,1.5628627968694129,4.315209540157168,,,Poultry Main,Rice Dish,-0.0567413869002204
karaage,4.0257,0.3507997598775191,2.0965,1129.255,1.0,1.3926988087928847,-1.0475397029840037,2.4402385117768883,-1.5296517946682409,-1.00872514255741,0.5209266521108309,Japanese,expanded,deep_fry,E,False,291,265.0,-26,Other,52.00500000000001,54.98,26.16,1.015,812.2,3.3115577273420174,Heavy Main,1.19741869117568,3.623214483132864,,,Poultry Main,,
kare_kare,4.9488,0.4884342294134526,9.3995,2531.9750000000004,0.4,1.5991451229486682,-0.7165504544072827,2.315695577355951,-1.8965765551182858,-0.558023566480915,1.3385529886373708,Filipino,expanded,simmer,E,False,301,304.0,3,Other,52.84,57.275000000000006,13.845,5.8950000000000005,772.35,6.48442549588403,Heavy Main,1.8694032241577607,3.6467758197370297,,,Red Meat Main,,
katsu_curry,5.2167,0.4151069941812468,2.8080000000000003,1725.85,1.0,1.651865018073996,-0.8792189746763995,2.5310839927503954,-1.3301698468371497,-0.4272219716039863,0.9029478752331633,Japanese,expanded,deep_fry,E,False,281,292.0,11,Other,54.53,57.43,83.67000000000002,2.28,1084.9,3.5196253649567324,Heavy Main,1.2583545535358684,3.4925647227940466,,,Pork Main,,
keftedes,4.6633,0.528921603586283,9.492,2729.71,0.5,1.5397233520209026,-0.6369150554855815,2.176638407506484,-2.27648913806547,-0.6974183232459887,1.579070814819481,Greek,expanded,pan_fry,E,False,314,310.0,-4,Other,44.074,45.82599999999999,13.123,1.1980000000000002,652.6500000000001,6.860790766559553,Full Main,1.925822707187706,3.6053918239364,,,Red Meat Main,,
khao_man_gai,5.2167,0.2492308730802638,2.5045,1409.345,0.4,1.651865018073996,-1.3893756109773148,3.0412406290513108,-0.34477217959347545,-0.4272219716039863,-0.08244979201051084,Thai,expanded,boil,C,False,199,186.0,-13,Other,54.23,15.315,60.325,1.105,610.75,4.976155331456192,Full Main,1.604657571078321,4.13374823698209,,,Poultry Main,,
kibbeh,7.7129,0.4201524414376171,3.626,1575.9399999999998,1.0,2.042894251743997,-0.8671376777533966,2.9100319294973938,-0.14137840315323613,0.7915422730088899,0.932920676162126,Lebanese,expanded,deep_fry,D,False,228,295.0,67,Other,38.835,44.145,50.545,2.685,755.8500000000001,5.317414021521978,Heavy Main,1.6709870989952884,3.7318391636210513,,,Red Meat Main,,
kitfo,6.1523,0.5233179288846862,12.36,3269.59,0.0,1.8168259956437758,-0.6475661049933105,2.4643921006370864,-1.516199125776738,0.02958270240442928,1.5457818281811673,African,expanded,raw,E,False,287,309.0,22,Other,53.470000000000006,54.9,5.03,2.8000000000000003,743.3000000000001,6.589719532003938,Heavy Main,1.885510787973515,3.606387099887794,,,Red Meat Main,,
kofte,4.9488,0.5200499512413249,9.3335,2393.36,0.6,1.5991451229486682,-0.653830411940667,2.252975534889335,-2.084391765231887,-0.558023566480915,1.5263681987509718,Turkish,expanded,grill,E,False,306,308.0,2,Other,41.87199999999999,23.922,15.191,1.874,456.27,9.682582061436689,Full Main,2.2703286076031497,3.775257041438062,,,Red Meat Main,Kebab/Grilled,0.1306752005137868
koobideh,8.4548,0.6431374471788253,12.3104,3118.4300000000003,0.6,2.1347343274285446,-0.4413968183671966,2.576131145795741,-1.1038039701995856,1.1537733414642592,2.257577311663845,Persian,expanded,grill,E,False,276,319.0,43,Other,52.752,30.139,5.6370000000000005,1.439,523.53,8.973188695267659,Full Main,2.194241097323346,3.518585997479604,,,Red Meat Main,,
kunefe,8.4548,0.284870239117631,2.613,735.27,0.8,2.1347343274285446,-1.25572150373626,3.3904558311648048,1.0245052085427955,1.1537733414642592,0.12926813292146386,Turkish,expanded,bake,C,False,136,227.0,91,Other,26.27,51.3,76.85,1.62,872.0000000000001,3.5584920303957,Heavy Main,1.2693368681581374,3.932732481513664,,,Dessert,,
labneh,6.1523,0.045353367769428,0.7909,456.48,0.0,1.8168259956437758,-3.093270843448862,4.910096839092637,1.3231798060551252,0.02958270240442928,-1.293597103650696,Lebanese,expanded,cold,A,False,17,19.0,2,Other,20.0,16.2,7.2,0.0,250.6,7.880384623800427,Light Main,2.06437671280557,6.167967493377986,,,Salad/Cold,,
