dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr,cuisine,cook_method_h,H_bert,E_carbon,E_carbon_ingredients,E_carbon_cooking,E_water,E_water_ingredients,E_energy,E_land,cook_method_e,n_ingredients,total_grams,missing_ingredients,E_carbon_norm,E_water_norm,E_energy_norm,E_composite_equal,E_composite_carbon_first,E_composite_water_first,E_composite_energy_first,E_composite,DEI,log_H,log_E,log_DEI,Z_H,Z_E,DEI_z,DEI_equal,log_DEI_equal,DEI_carbon_first,log_DEI_carbon_first,DEI_water_first,log_DEI_water_first,DEI_energy_first,log_DEI_energy_first,DEI_tier
fried_chicken,4.7848,7.904,1.653,500,6.885,8.019,0.145,1.134,American,deep_fry,7.048,2.6084,2.1239,0.475,1467.3,1466.3,1.0,3.939,deep_fry,6,375,,0.1648571885188263,0.3457307653976479,0.67,0.393529317972158,0.3363612856088251,0.3815796798285306,0.4626469884791185,0.393529317972158,12.15868750174929,1.56544422674821,-0.9325997082529256,2.4980439350011356,-0.9622455143557918,0.8971474529252476,-1.8593929672810394,12.15868750174929,2.4980439350011356,14.225180497034172,2.655013668651343,12.539451791956354,2.5288798174992775,10.342226620191132,2.336235186341874,E
fried_rice,4.135,7.859,2.067,500,5.858,8.016,0.181,2.158,Chinese,stir_fry,6.66,1.509,1.262,0.2375,794.5,793.5,0.5,1.112,stir_fry,7,335,,0.0952793581793773,0.1797770081722144,0.34,0.2050187887838639,0.1775839311327423,0.1987083436309515,0.2387640915878979,0.2050187887838639,20.168883176649842,1.4194873284756546,-1.584653651439358,3.0041409799150127,-1.2864188313635216,-0.2780454135500016,-1.00837341781352,20.168883176649842,3.0041409799150127,23.28476441322344,3.147799258849271,20.809392924535043,3.0354044676847347,17.318349557926524,2.8517666074810153,D
gazpacho,9.4399,7.964,1.267,500,7.696,8.02,0.111,0.324,Spanish,cold,7.436,0.668,0.6585,0.0,344.6,343.6,0.0,0.6675,raw,8,370,,0.0420549127405229,0.0688040661750049,0.01,0.0402863263051759,0.0407284729140127,0.0474157612726332,0.0327147447288819,0.0402863263051759,234.320199079239,2.244945386880962,-3.2117431652422823,5.456688552123245,1.360098603838551,-1.3050035130017603,2.6651021168403113,234.320199079239,5.456688552123245,231.7764287389274,5.445773237809835,199.08780849730647,5.293745976133083,288.55184652154946,5.6648747804487485,A
gelato,9.2647,7.973,1.07,500,7.817,8.025,0.094,0.208,Italian,cold,7.564,1.2235,1.214,0.0,500.4,499.4,0.0,3.066,cold,4,280,,0.077210893051205,0.1072339047239386,0.01,0.0648149325917145,0.0679139227065871,0.0754196756247705,0.0511111994437859,0.0648149325917145,142.9408259723213,2.226211479288635,-2.736219260941248,4.962430740229883,1.2726945331402526,-1.1520898096842793,2.424784342824532,142.9408259723213,4.962430740229883,136.4182722889809,4.91572569750029,122.84194970678371,4.81089856736773,181.26555629338498,5.19996311787736,A
general_tso,6.8891,7.783,2.021,500,5.902,8.001,0.177,2.099,Chinese,deep_fry,6.649,2.3185,1.834,0.475,1272.8,1271.8,1.0,3.2595,deep_fry,9,350,,0.1465102601802723,0.2977551325493322,0.67,0.3714217975765348,0.3151939132274692,0.3530051313197342,0.4460663481824011,0.3714217975765348,18.547915186858248,1.9299404524006092,-0.9904169414881231,2.9203573938887324,0.08755120921971819,0.759327033152081,-0.6717758239323629,18.547915186858248,2.9203573938887324,21.85670379690446,3.084507684412036,19.51558033800988,2.971213138238573,15.444115047170015,2.7372280276859517,D
gnocchi,9.2211,7.953,1.618,500,7.524,8.02,0.142,0.496,Italian,boil,7.211,1.189,0.9895,0.19,467.3,466.3,0.4,3.085,boil,5,325,,0.0750274883334398,0.0990694139924257,0.274,0.1493656341086219,0.1307810976648263,0.1367915790795728,0.1805242255814664,0.1493656341086219,61.735084211500876,2.221494336308958,-1.9013580587901766,4.122852395099135,1.2509432918020917,-0.6249925610266287,1.8759358528287204,61.735084211500876,4.122852395099135,70.50789574830144,4.2557246999768985,67.40985126457244,4.210791168433191,51.079571012139475,3.9333846327762823,A
green_curry,5.3973,7.967,1.559,500,7.62,8.029,0.137,0.409,Thai,simmer,7.287,2.321,2.1215,0.19,1536.4,1535.4,0.4,2.619,simmer,8,575,,0.1466684779134437,0.3627750647797488,0.274,0.2611478475643975,0.232528005151659,0.2865546518682353,0.2643608856732982,0.2611478475643975,20.667602855386576,1.6858988285285466,-1.3426685662766353,3.028567394805182,-0.6566804840891945,0.0718685661352727,-0.7285490502244673,20.667602855386576,3.028567394805182,23.211397682957728,3.1446434374718644,18.835150519496043,2.935724832590493,20.41640913047204,3.0163389466594737,D
grilled_cheese,7.8408,7.954,1.557,500,7.326,8.024,0.137,0.697,American,pan_fry,7.194,1.7955,1.5485,0.2375,516.5,515.5,0.5,6.108,pan_fry,3,155,,0.1134111104008182,0.1112051524815626,0.34,0.1882054209607936,0.1695068433207998,0.1689553538409859,0.2261540657205952,0.1882054209607936,41.66086162647447,2.059340869972833,-1.6702212479906786,3.7295621179635114,0.5623369060437511,-0.38286157428211887,0.94519848032587,41.66086162647447,3.7295621179635114,46.25653953782215,3.8342028493754157,46.407526140778295,3.8374616473888765,34.670170421287104,3.5458796752108706,B
guacamole,8.706,7.902,1.824,500,6.911,8.003,0.16,1.092,Mexican,raw,6.93,0.4681,0.4586,0.0,328.1,327.1,0.0,0.2365,raw,7,220,,0.0294038227961388,0.0647341538768188,0.01,0.0347126588909858,0.0333854498672741,0.0422180326374441,0.0285344941682394,0.0347126588909858,250.80187684098087,2.1640124431301055,-3.3606508490176483,5.524663292147753,0.9939693373689095,-1.339750294592507,2.3337196319614164,250.80187684098087,5.524663292147753,260.77228357297076,5.563647549761431,206.21519895928208,5.328920278659258,305.1044097249251,5.720654044993871,A
gyro,7.0164,7.929,1.622,500,7.415,8.012,0.142,0.597,Mediterranean,roast,7.158,4.2615,3.872,0.38,1720.4,1719.4,0.8,55.99,roast,7,330,,0.2694770824010739,0.4081607534383097,0.538,0.4052126119464612,0.3712787295601144,0.4059496473194233,0.4384094589598459,0.4052126119464612,17.315354441453177,1.948250265987488,-0.9033433818539307,2.851593647841419,0.15105884734696354,0.9699822372455441,-0.8189233898985806,17.315354441453177,2.851593647841419,18.897931503678997,2.9390524718263493,17.283916974262365,2.8497764144399107,16.004216735302318,2.772852233474041,D
