dish_id,H_yelp,H_foodcom,H_crocufid,H_foodpics,H_google,H_tripadvisor,n_foodcom,n_crocufid,n_foodpics,n_google,n_ta
sweet_and_sour,6.416,8.987804878048781,,,7.971550497866287,8.188508715300193,164.0,,,703.0,1549.0
tabbouleh,7.356,8.538461538461538,,,9.093333333333334,8.534075104311544,52.0,,,75.0,719.0
taco,7.05,9.333333333333334,,,8.699946696331317,8.543597904648232,39.0,,,43149.0,15081.0
takoyaki,7.144,,,,8.887005649717514,8.990654205607477,,,,354.0,107.0
tamale,7.247,,,,8.726483357452967,8.24124513618677,,,,1382.0,257.0
tandoori_chicken,7.061,8.647058823529411,,,8.489977728285078,8.520212139068946,34.0,,,449.0,8485.0
tapas,7.397,10.0,,,9.178147268408551,8.671669979416155,6.0,,,2105.0,141373.0
tempura,6.976,,,,8.779990736452062,8.608195542774983,,,,2159.0,8346.0
teriyaki,6.712,8.819672131147541,,,8.491582491582491,8.452766908887646,61.0,,,1782.0,1789.0
thai_iced_tea,7.216,7.454545454545454,,,9.025,8.617021276595745,11.0,,,240.0,94.0
tikka_masala,7.079,9.04954954954955,,,8.831721470019342,8.59951845906902,444.0,,,517.0,2492.0
tiramisu,7.448,8.945273631840797,4.502000000000001,,9.163593099345627,8.951549085479657,201.0,1.0,,1681.0,13395.0
tom_kha,7.207,,,,8.748201438848922,8.38135593220339,,,,139.0,236.0
tom_yum,7.086,,,,8.664556962025317,8.237129485179407,,,,316.0,641.0
tteokbokki,6.906,,,,8.4,8.625,,,,45.0,16.0
udon,6.941,,,,8.971228070175439,8.206991089787525,,,,1425.0,1459.0
vindaloo,7.325,7.5,,,9.069444444444445,8.583458646616542,40.0,,,144.0,1330.0
waffle,7.266,9.006060606060606,5.958,6.4099671579912165,8.927556596409055,8.558295130714905,165.0,1.0,2.0,12810.0,8071.0
wonton_soup,6.753,9.23076923076923,,,8.401496259351621,8.291605301914581,39.0,,,802.0,679.0
xiao_long_bao,7.102,,,,8.953818827708703,8.581005586592179,,,,1126.0,1253.0
yakitori,6.842,9.617021276595745,,,9.061946902654867,8.26647564469914,47.0,,,113.0,698.0
