dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr,cuisine,cook_method
spanakopita,7.365,7.973,1.474,500,7.755,8.021,0.129,0.267,Mediterranean,bake
spring_rolls,6.845,7.913,1.921,500,6.637,8.014,0.168,1.378,Chinese,deep_fry
steak,6.761,7.864,1.896,500,6.265,8.016,0.166,1.752,American,grill
sundubu_jjigae,7.119,7.837,1.525,280,7.124,8.0,0.179,0.876,Korean,boil
sushi,6.974,7.934,1.78,500,6.978,8.023,0.156,1.045,Japanese,raw
sweet_and_sour,6.416,7.744,2.188,500,5.189,8.004,0.192,2.815,Chinese,deep_fry
tabbouleh,7.356,7.964,1.393,500,7.556,8.023,0.122,0.467,Mediterranean,raw
taco,7.05,7.91,1.719,500,7.017,8.002,0.151,0.986,Mexican,grill
takoyaki,7.144,7.896,1.56,500,7.16,8.014,0.137,0.854,Japanese,pan_fry
tamale,7.247,7.957,1.577,500,7.522,8.02,0.138,0.498,Mexican,steam
tandoori_chicken,7.061,7.95,1.692,500,6.989,8.017,0.148,1.027,Indian,roast
tapas,7.397,7.948,1.232,500,7.468,8.025,0.108,0.557,Spanish,stir_fry
tempura,6.976,7.904,1.748,500,6.85,8.017,0.153,1.167,Japanese,deep_fry
teriyaki,6.712,7.878,2.003,500,6.042,8.012,0.176,1.97,Japanese,grill
thai_iced_tea,7.216,7.947,1.529,500,7.352,8.016,0.134,0.664,Thai,cold
tikka_masala,7.079,7.96,1.781,500,7.289,8.02,0.156,0.731,Indian,simmer
tiramisu,7.448,7.973,1.315,500,7.718,8.028,0.115,0.31,Italian,cold
tom_kha,7.207,7.957,1.595,500,7.356,8.027,0.14,0.671,Thai,boil
tom_yum,7.086,7.914,1.647,500,7.1,8.017,0.144,0.917,Thai,boil
tteokbokki,6.906,7.81,1.718,500,6.467,8.008,0.151,1.54,Korean,simmer
udon,6.941,7.866,1.793,500,6.796,8.005,0.157,1.209,Japanese,boil
vindaloo,7.325,7.958,1.467,500,7.586,8.017,0.129,0.431,Indian,simmer
waffle,7.266,7.944,1.466,500,7.441,8.021,0.128,0.58,American,bake
wonton_soup,6.753,7.846,1.948,500,6.226,8.01,0.171,1.784,Chinese,boil
xiao_long_bao,7.102,7.92,1.609,500,6.974,8.028,0.141,1.055,Chinese,steam
yakitori,6.842,7.845,1.81,500,6.359,8.009,0.159,1.649,Japanese,grill
